
> ppe-labeler-frontend@0.0.0 dev
> vite --host 0.0.0.0 --port 5173 --strictPort


  [32m[1mVITE[22m v5.4.21[39m  [2mready in [0m[1m202[22m[2m[0m ms[22m
INFO:     127.0.0.1:52894 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos HTTP/1.1" 200 OK
INFO:     127.0.0.1:52893 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/jobs HTTP/1.1" 200 OK
INFO:     127.0.0.1:60485 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/suggestions/threshold HTTP/1.1" 200 OK
INFO:     127.0.0.1:52397 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/windows HTTP/1.1" 200 OK
INFO:     127.0.0.1:52396 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/tracks HTTP/1.1" 200 OK
INFO:     127.0.0.1:52399 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/features HTTP/1.1" 200 OK
INFO:     127.0.0.1:52400 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/overlay?start=0&end=47 HTTP/1.1" 200 OK
INFO:     127.0.0.1:52398 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/segments HTTP/1.1" 200 OK
INFO:     127.0.0.1:59297 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/suggestions/threshold?track_id=5 HTTP/1.1" 200 OK
INFO:     127.0.0.1:59692 - "PUT /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/workspace-state HTTP/1.1" 200 OK
INFO:     127.0.0.1:63839 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/jobs HTTP/1.1" 200 OK
INFO:     127.0.0.1:54679 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos HTTP/1.1" 200 OK
INFO:     127.0.0.1:58718 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/overlay?start=48&end=95 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49360 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/jobs HTTP/1.1" 200 OK
INFO:     127.0.0.1:49359 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos HTTP/1.1" 200 OK
INFO:     127.0.0.1:52449 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/overlay?start=96&end=143 HTTP/1.1" 200 OK
INFO:     127.0.0.1:57813 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/jobs HTTP/1.1" 200 OK
INFO:     127.0.0.1:57814 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos HTTP/1.1" 200 OK
INFO:     127.0.0.1:59942 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/overlay?start=144&end=168 HTTP/1.1" 200 OK
INFO:     127.0.0.1:51657 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/jobs HTTP/1.1" 200 OK
INFO:     127.0.0.1:51656 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos HTTP/1.1" 200 OK
INFO:     127.0.0.1:61592 - "PUT /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/workspace-state HTTP/1.1" 200 OK
INFO:     127.0.0.1:54043 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/jobs HTTP/1.1" 200 OK
INFO:     127.0.0.1:54044 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos HTTP/1.1" 200 OK
INFO:     127.0.0.1:56280 - "PUT /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/workspace-state HTTP/1.1" 200 OK
INFO:     127.0.0.1:60621 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/jobs HTTP/1.1" 200 OK
INFO:     127.0.0.1:60622 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos HTTP/1.1" 200 OK
INFO:     127.0.0.1:64135 - "PUT /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/workspace-state HTTP/1.1" 200 OK
INFO:     127.0.0.1:64017 - "PUT /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/workspace-state HTTP/1.1" 200 OK
INFO:     127.0.0.1:51467 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/jobs HTTP/1.1" 200 OK
INFO:     127.0.0.1:50298 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos HTTP/1.1" 200 OK
INFO:     127.0.0.1:61639 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/jobs HTTP/1.1" 200 OK
INFO:     127.0.0.1:61640 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos HTTP/1.1" 200 OK
INFO:     127.0.0.1:58507 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/jobs HTTP/1.1" 200 OK
INFO:     127.0.0.1:52939 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos HTTP/1.1" 200 OK
INFO:     127.0.0.1:57727 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/jobs HTTP/1.1" 200 OK
INFO:     127.0.0.1:57728 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos HTTP/1.1" 200 OK
INFO:     127.0.0.1:55005 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/jobs HTTP/1.1" 200 OK
INFO:     127.0.0.1:53876 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos HTTP/1.1" 200 OK
INFO:     127.0.0.1:60382 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/suggestions/threshold?track_id=4 HTTP/1.1" 200 OK
INFO:     127.0.0.1:50344 - "PUT /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/workspace-state HTTP/1.1" 200 OK
INFO:     127.0.0.1:53118 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/suggestions/threshold?track_id=1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:60892 - "PUT /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/workspace-state HTTP/1.1" 200 OK
INFO:     127.0.0.1:58237 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/suggestions/threshold?track_id=2 HTTP/1.1" 200 OK
INFO:     127.0.0.1:56807 - "PUT /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/workspace-state HTTP/1.1" 200 OK
INFO:     127.0.0.1:53909 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/jobs HTTP/1.1" 200 OK
INFO:     127.0.0.1:51542 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos HTTP/1.1" 200 OK
INFO:     127.0.0.1:51544 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/suggestions/threshold?track_id=4 HTTP/1.1" 200 OK
INFO:     127.0.0.1:55018 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/suggestions/threshold?track_id=5 HTTP/1.1" 200 OK
INFO:     127.0.0.1:56022 - "PUT /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/workspace-state HTTP/1.1" 200 OK
INFO:     127.0.0.1:57154 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/jobs HTTP/1.1" 200 OK
INFO:     127.0.0.1:55307 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos HTTP/1.1" 200 OK
INFO:     127.0.0.1:64698 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/jobs HTTP/1.1" 200 OK
INFO:     127.0.0.1:64699 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos HTTP/1.1" 200 OK
INFO:     127.0.0.1:63839 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/jobs HTTP/1.1" 200 OK
INFO:     127.0.0.1:64020 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos HTTP/1.1" 200 OK
INFO:     127.0.0.1:57143 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/jobs HTTP/1.1" 200 OK
INFO:     127.0.0.1:57142 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos HTTP/1.1" 200 OK
INFO:     127.0.0.1:63839 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/jobs HTTP/1.1" 200 OK
INFO:     127.0.0.1:50233 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos HTTP/1.1" 200 OK
INFO:     127.0.0.1:50599 - "POST /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/tracks/5/merge HTTP/1.1" 200 OK
INFO:     127.0.0.1:56385 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/tracks HTTP/1.1" 200 OK
INFO:     127.0.0.1:55592 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/overlay?start=0&end=47 HTTP/1.1" 200 OK
INFO:     127.0.0.1:55593 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/suggestions/threshold HTTP/1.1" 200 OK
INFO:     127.0.0.1:55591 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/segments HTTP/1.1" 200 OK
INFO:     127.0.0.1:55285 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/windows HTTP/1.1" 200 OK
INFO:     127.0.0.1:62447 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/features HTTP/1.1" 200 OK
INFO:     127.0.0.1:62446 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/suggestions/threshold?track_id=5 HTTP/1.1" 200 OK
INFO:     127.0.0.1:54972 - "PUT /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/workspace-state HTTP/1.1" 200 OK
INFO:     127.0.0.1:56755 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/jobs HTTP/1.1" 200 OK
INFO:     127.0.0.1:64105 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos HTTP/1.1" 200 OK
INFO:     127.0.0.1:58215 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/jobs HTTP/1.1" 200 OK
INFO:     127.0.0.1:58222 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos HTTP/1.1" 200 OK
INFO:     127.0.0.1:62601 - "POST /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/tracks/5/merge HTTP/1.1" 200 OK
INFO:     127.0.0.1:50739 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/tracks HTTP/1.1" 200 OK
INFO:     127.0.0.1:53075 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/suggestions/threshold HTTP/1.1" 200 OK
INFO:     127.0.0.1:55441 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/overlay?start=0&end=47 HTTP/1.1" 200 OK
INFO:     127.0.0.1:53074 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/segments HTTP/1.1" 200 OK
INFO:     127.0.0.1:61591 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/windows HTTP/1.1" 200 OK
INFO:     127.0.0.1:53745 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/features HTTP/1.1" 200 OK
INFO:     127.0.0.1:53746 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/suggestions/threshold?track_id=5 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63839 - "PUT /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/workspace-state HTTP/1.1" 200 OK
INFO:     127.0.0.1:64601 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos HTTP/1.1" 200 OK
INFO:     127.0.0.1:64600 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/jobs HTTP/1.1" 200 OK
INFO:     127.0.0.1:55236 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/jobs HTTP/1.1" 200 OK
INFO:     127.0.0.1:62904 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos HTTP/1.1" 200 OK
INFO:     127.0.0.1:64294 - "POST /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/tracks/5/merge HTTP/1.1" 200 OK
INFO:     127.0.0.1:58465 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/suggestions/threshold HTTP/1.1" 200 OK
INFO:     127.0.0.1:58466 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/segments HTTP/1.1" 200 OK
INFO:     127.0.0.1:58467 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/overlay?start=0&end=47 HTTP/1.1" 200 OK
INFO:     127.0.0.1:58464 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/tracks HTTP/1.1" 200 OK
INFO:     127.0.0.1:63839 - "GET /api/v1/video-projects/7fb14a2de43c4417a3b60ca65bd74a86/videos/7b0d643b6a6e463c863e97b48ddf5766/windows HTTP/1.1" 200 OK
